sent_id,entity1,entity2,sent,processed_sent,label,hard_match
TRAIN_SENT_ID_284598,高迅,高文,高文 正式 把 潜龙 交给 高迅 ）,人物二 正式 潜龙 交给 人物一,-1,0
TRAIN_SENT_ID_278795,任盈盈,任我行,任家 阵容 是 任盈盈 、 令狐冲 、 任我行 和 东方不败 。,任家 阵容 人物一  令狐冲  人物二 东方不败,-1,0
TRAIN_SENT_ID_281448,曾雅兰,侯昌明,08.18 傅天颖 家务事 大家 帮帮忙 （ 傅天颖 、 曾雅兰 、 侯昌明 、 沛小岚 、 陈萍 、 余皓然 ）,傅天颖 家务事 帮帮忙  傅天颖  人物一  人物二  沛小岚  陈萍  余皓然,1,0
TRAIN_SENT_ID_281545,李锐,蒋韵,父母 ： 李锐 / 蒋韵,父母  人物一  人物二,1,0
TRAIN_SENT_ID_273924,江冬秀,胡适,遵从 母命 的 婚姻 — — 胡适 与 江冬秀,遵从 母命 婚姻   人物二 人物一,1,0
TRAIN_SENT_ID_273419,杨乐乐,汪涵,主持 ： 李湘 、 汪涵 、 杨乐乐 、 李响 、 夏颖,主持  李湘  人物二  人物一  李响  夏颖,1,0
TRAIN_SENT_ID_262663,况天佑,马小玲,马小玲 和 况天佑 能 再 一次 创造 奇迹 吗 ?,人物二 人物一 一次 创造 奇迹,1,0
TRAIN_SENT_ID_268654,潘金莲,武大郎,— — 潘金莲 与 西门庆 通奸 ， 被 武大郎 捉奸在床 。,人物一 西门庆 通奸  人物二 捉奸在床,1,0
TRAIN_SENT_ID_252307,文姜,鲁桓公,鲁桓公 文姜,人物二 人物一,1,0
TRAIN_SENT_ID_277121,浦安修,彭德怀,只是 在 那些 粗大 胳膊 松懈 的 片刻 ， 浦安修 才 看到 彭德怀 不屈 的 头颅 。,粗大 胳膊 松懈 片刻  人物一 看到 人物二 不屈 头颅,1,0
TRAIN_SENT_ID_262746,熊美玲,林秋离,No.143 痛彻 心扉 林秋离 熊美玲 何家劲,痛彻 心扉 人物二 人物一 何家劲,1,0
TRAIN_SENT_ID_262926,熊美玲,林秋离,No.136 就是 我爱你 林秋离 熊美玲 林慧萍,我爱你 人物二 人物一 林慧萍,1,0
TRAIN_SENT_ID_284371,红玉,贾芸,第二十七回 红玉 对 贾芸 心怀 私情 ， 又 巴不得 去 侍候 凤姐 ， 庚辰 本有 两条 相连 的 眉批 ：,第二十七回 人物一 人物二 心怀 私情  巴不得 侍候 凤姐  庚辰 本有 两条 相连 眉批,1,0
TRAIN_SENT_ID_256123,蒋介石,宋美龄,蒋介石 住 “ 云 岫 ” 楼 ， 宋美龄 住 “ 松厅 ” 。,人物一 住  云 岫  楼  人物二 住  松厅,1,0
TRAIN_SENT_ID_256074,蒋介石,宋美龄,戴笠 患病 住院 ， 宋美龄 代表 蒋介石 亲往 探望 ， 从此 备受 恩宠 。,戴笠 患病 住院  人物二 代表 人物一 亲往 探望  备受 恩宠,1,0
TRAIN_SENT_ID_256153,蒋介石,宋美龄,宋美龄 与 蒋介石 闹别扭,人物二 人物一 闹别扭,1,0
TRAIN_SENT_ID_281728,宋共公,宋文公,历适 宋文公 、 宋共公 、 宋平公 。,历适 人物二  人物一  宋平公,-1,0
TRAIN_SENT_ID_268602,潘金莲,武大郎,— — 悔恨 的 潘金莲 ， 悉心 地 照顾 着 受伤 的 武大郎 。,悔恨 人物一  悉心 照顾 受伤 人物二,1,0
TRAIN_SENT_ID_265277,贾琏,贾赦,【 秋桐 】 贾赦 赏给 贾琏 的 侍妾 。,秋桐  人物二 赏给 人物一 侍妾,-1,0
TRAIN_SENT_ID_267122,公子羽,明月心,公子羽 替 重伤 的 明月心 挡 下 重重围困 。,人物一 重伤 人物二 挡 重重围困,1,0
